W T
15000 0.591358
15003.3 0.5913
15006.6 0.591243
15009.9 0.591186
15013.2 0.591129
15016.5 0.591072
15019.8 0.591015
15023.1 0.590958
15026.4 0.590901
15029.7 0.590844
15032.9 0.590787
15036.2 0.59073
15039.5 0.590673
15042.8 0.590616
15046.1 0.590559
15049.4 0.590502
15052.7 0.590445
15056 0.590388
15059.3 0.590331
15062.6 0.590274
15065.9 0.590217
15069.2 0.590161
15072.5 0.590104
15075.8 0.590047
15079.1 0.58999
15082.4 0.589934
15085.7 0.589877
15089 0.58982
15092.3 0.589764
15095.6 0.589707
15098.8 0.58965
15102.1 0.589594
15105.4 0.589537
15108.7 0.589481
15112 0.589424
15115.3 0.589368
15118.6 0.589311
15121.9 0.589255
15125.2 0.589198
15128.5 0.589142
15131.8 0.589085
15135.1 0.589029
15138.4 0.588972
15141.7 0.588916
15145 0.58886
15148.3 0.588803
15151.6 0.588747
15154.9 0.588691
15158.2 0.588635
15161.4 0.588578
15164.7 0.588522
15168 0.588466
15171.3 0.58841
15174.6 0.588353
15177.9 0.588297
15181.2 0.588241
15184.5 0.588185
15187.8 0.588129
15191.1 0.588073
15194.4 0.588017
15197.7 0.587961
15201 0.587905
15204.3 0.587849
15207.6 0.587793
15210.9 0.587737
15214.2 0.587681
15217.5 0.587625
15220.8 0.587569
15224.1 0.587513
15227.3 0.587457
15230.6 0.587401
15233.9 0.587346
15237.2 0.58729
15240.5 0.587234
15243.8 0.587178
15247.1 0.587122
15250.4 0.587067
15253.7 0.587011
15257 0.586955
15260.3 0.5869
15263.6 0.586844
15266.9 0.586788
15270.2 0.586733
15273.5 0.586677
15276.8 0.586621
15280.1 0.586566
15283.4 0.58651
15286.7 0.586455
15290 0.586399
15293.2 0.586344
15296.5 0.586288
15299.8 0.586233
15303.1 0.586177
15306.4 0.586122
15309.7 0.586066
15313 0.586011
15316.3 0.585956
15319.6 0.5859
15322.9 0.585845
15326.2 0.585789
15329.5 0.585734
15332.8 0.585679
15336.1 0.585623
15339.4 0.585568
15342.7 0.585513
15346 0.585458
15349.3 0.585402
15352.6 0.585347
15355.8 0.585292
15359.1 0.585237
15362.4 0.585182
15365.7 0.585127
15369 0.585071
15372.3 0.585016
15375.6 0.584961
15378.9 0.584906
15382.2 0.584851
15385.5 0.584796
15388.8 0.584741
15392.1 0.584686
15395.4 0.584631
15398.7 0.584576
15402 0.584521
15405.3 0.584466
15408.6 0.584411
15411.9 0.584356
15415.2 0.584301
15418.5 0.584246
15421.7 0.584191
15425 0.584136
15428.3 0.584081
15431.6 0.584027
15434.9 0.583972
15438.2 0.583917
15441.5 0.583862
15444.8 0.583807
15448.1 0.583752
15451.4 0.583698
15454.7 0.583643
15458 0.583588
15461.3 0.583533
15464.6 0.583479
15467.9 0.583424
15471.2 0.583369
15474.5 0.583314
15477.8 0.58326
15481.1 0.583205
15484.3 0.58315
15487.6 0.583096
15490.9 0.583041
15494.2 0.582986
15497.5 0.582932
15500.8 0.582877
15504.1 0.582822
15507.4 0.582768
15510.7 0.582713
15514 0.582658
15517.3 0.582604
15520.6 0.582549
15523.9 0.582495
15527.2 0.58244
15530.5 0.582386
15533.8 0.582331
15537.1 0.582276
15540.4 0.582222
15543.7 0.582167
15547 0.582113
15550.2 0.582058
15553.5 0.582004
15556.8 0.581949
15560.1 0.581895
15563.4 0.58184
15566.7 0.581786
15570 0.581731
15573.3 0.581677
15576.6 0.581622
15579.9 0.581568
15583.2 0.581513
15586.5 0.581459
