wl	k
0.234	3.448
0.236	3.536
0.238	3.655
0.240	3.763
0.242	3.916
0.244	4.052
0.246	4.163
0.248	4.240
0.250	4.269
0.252	4.225
0.254	4.120
0.256	3.989
0.258	3.851
0.260	3.717
0.262	3.575
0.264	3.451
0.266	3.337
0.268	3.224
0.270	3.120
0.272	3.024
0.274	2.928
0.276	2.831
0.278	2.701
0.280	2.583
0.282	2.464
0.284	2.361
0.286	2.274
0.288	2.198
0.290	2.133
0.292	2.078
0.294	2.038
0.296	2.001
0.298	1.972
0.300	1.946
0.302	1.928
0.304	1.913
0.306	1.903
0.308	1.893
0.310	1.887
0.312	1.880
0.314	1.874
0.316	1.877
0.318	1.871
0.320	1.874
0.322	1.875
0.324	1.877
0.326	1.881
0.328	1.886
0.330	1.890
0.332	1.893
0.334	1.897
0.336	1.905
0.338	1.909
0.340	1.919
0.342	1.924
0.344	1.933
0.346	1.944
0.348	1.954
0.350	1.961
0.352	1.974
0.354	1.985
0.356	1.995
0.358	2.007
0.360	2.019
0.362	2.030
0.364	2.045
0.366	2.056
0.368	2.071
0.370	2.087
0.372	2.103
0.374	2.116
0.376	2.134
0.378	2.154
0.380	2.176
0.382	2.198
0.384	2.223
0.386	2.242
0.388	2.253
0.390	2.262
0.392	2.254
0.394	2.231
0.396	2.186
0.398	2.136
0.400	2.081
0.402	2.030
0.404	1.989
0.406	1.951
0.408	1.923
0.410	1.902
0.412	1.886
0.414	1.879
0.416	1.882
0.418	1.887
0.420	1.887
0.422	1.868
0.424	1.815
0.426	1.675
0.428	1.562
0.430	1.438
0.432	1.323
0.434	1.225
0.436	1.135
0.438	1.056
0.440	0.990
0.442	0.928
0.444	0.877
0.446	0.829
0.448	0.788
0.450	0.755
0.455	0.678
0.460	0.617
0.465	0.566
0.470	0.527
0.475	0.492
0.480	0.463
0.485	0.436
0.490	0.414
0.495	0.394
0.500	0.376
0.505	0.360
0.510	0.346
0.515	0.334
0.520	0.322
0.525	0.311
0.530	0.301
0.535	0.291
0.540	0.282
0.545	0.275
0.550	0.268
0.555	0.261
0.560	0.255
0.565	0.248
0.570	0.243
0.575	0.237
0.580	0.232
0.585	0.227
0.590	0.222
0.595	0.218
0.600	0.214
0.605	0.210
0.610	0.206
0.615	0.203
0.620	0.199
0.625	0.195
0.630	0.191
0.635	0.188
0.640	0.185
0.645	0.182
0.650	0.178
0.655	0.175
0.660	0.171
0.665	0.168
0.670	0.164
0.675	0.162
0.680	0.159
0.685	0.154
0.690	0.151
0.695	0.148
0.700	0.141
0.705	0.135
0.710	0.131
0.715	0.126
0.720	0.123
0.725	0.120
0.730	0.116
0.735	0.114
0.740	0.111
0.745	0.108
0.750	0.108
0.755	0.105
0.760	0.105
0.765	0.101
0.770	0.101
0.775	0.097
0.780	0.095
0.785	0.094
0.790	0.092
0.795	0.089
0.800	0.089
0.805	0.086
0.810	0.082
0.815	0.084
0.820	0.081
0.825	0.077
0.830	0.075
0.835	0.070
0.840	0.074
