wl	n
0.234	1.696
0.236	1.664
0.238	1.722
0.240	1.790
0.242	1.912
0.244	2.063
0.246	2.263
0.248	2.498
0.250	2.776
0.252	3.030
0.254	3.255
0.256	3.444
0.258	3.599
0.260	3.730
0.262	3.799
0.264	3.868
0.266	3.929
0.268	3.979
0.270	4.014
0.272	4.055
0.274	4.097
0.276	4.130
0.278	4.174
0.280	4.178
0.282	4.164
0.284	4.134
0.286	4.096
0.288	4.056
0.290	4.023
0.292	3.979
0.294	3.931
0.296	3.893
0.298	3.851
0.300	3.817
0.302	3.784
0.304	3.749
0.306	3.721
0.308	3.695
0.310	3.675
0.312	3.656
0.314	3.642
0.316	3.623
0.318	3.614
0.320	3.598
0.322	3.591
0.324	3.584
0.326	3.573
0.328	3.569
0.330	3.564
0.332	3.564
0.334	3.566
0.336	3.562
0.338	3.565
0.340	3.566
0.342	3.570
0.344	3.575
0.346	3.577
0.348	3.584
0.350	3.592
0.352	3.599
0.354	3.608
0.356	3.617
0.358	3.630
0.360	3.642
0.362	3.658
0.364	3.672
0.366	3.691
0.368	3.709
0.370	3.727
0.372	3.747
0.374	3.776
0.376	3.796
0.378	3.823
0.380	3.856
0.382	3.896
0.384	3.936
0.386	3.988
0.388	4.050
0.390	4.124
0.392	4.208
0.394	4.287
0.396	4.360
0.398	4.417
0.400	4.459
0.402	4.488
0.404	4.509
0.406	4.527
0.408	4.542
0.410	4.556
0.412	4.577
0.414	4.602
0.416	4.633
0.418	4.685
0.420	4.755
0.422	4.849
0.424	4.949
0.426	5.080
0.428	5.126
0.430	5.152
0.432	5.152
0.434	5.135
0.436	5.110
0.438	5.073
0.440	5.041
0.442	5.002
0.444	4.962
0.446	4.924
0.448	4.884
0.450	4.858
0.455	4.778
0.460	4.702
0.465	4.634
0.470	4.575
0.475	4.518
0.480	4.467
0.485	4.420
0.490	4.376
0.495	4.341
0.500	4.307
0.505	4.272
0.510	4.242
0.515	4.212
0.520	4.186
0.525	4.162
0.530	4.141
0.535	4.116
0.540	4.096
0.545	4.076
0.550	4.058
0.555	4.040
0.560	4.024
0.565	4.009
0.570	3.993
0.575	3.977
0.580	3.960
0.585	3.946
0.590	3.934
0.595	3.923
0.600	3.912
0.605	3.900
0.610	3.891
0.615	3.881
0.620	3.874
0.625	3.865
0.630	3.851
0.635	3.844
0.640	3.839
0.645	3.831
0.650	3.825
0.655	3.815
0.660	3.809
0.665	3.804
0.670	3.798
0.675	3.793
0.680	3.787
0.685	3.784
0.690	3.779
0.695	3.776
0.700	3.770
0.705	3.766
0.710	3.758
0.715	3.749
0.720	3.744
0.725	3.739
0.730	3.734
0.735	3.728
0.740	3.721
0.745	3.716
0.750	3.712
0.755	3.709
0.760	3.703
0.765	3.698
0.770	3.692
0.775	3.689
0.780	3.685
0.785	3.684
0.790	3.680
0.795	3.679
0.800	3.679
0.805	3.672
0.810	3.669
0.815	3.669
0.820	3.662
0.825	3.661
0.830	3.661
0.835	3.663
0.840	3.645
