W T
11000 0.481341
11005.5 0.48154
11010.9 0.481742
11016.4 0.481946
11021.8 0.482153
11027.3 0.482362
11032.7 0.482574
11038.2 0.482789
11043.6 0.483007
11049.1 0.483227
11054.5 0.48345
11060 0.483676
11065.4 0.483905
11070.9 0.484137
11076.3 0.484371
11081.8 0.484609
11087.2 0.484849
11092.7 0.485091
11098.1 0.485336
11103.6 0.485583
11109 0.485829
11114.5 0.485888
11119.9 0.485915
11125.4 0.485949
11130.8 0.485987
11136.3 0.486031
11141.7 0.48608
11147.2 0.486132
11152.6 0.486189
11158.1 0.48625
11163.6 0.486315
11169 0.486384
11174.5 0.486457
11179.9 0.486533
11185.4 0.486614
11190.8 0.486698
11196.3 0.486785
11201.7 0.486876
11207.2 0.486971
11212.6 0.487069
11218.1 0.487171
11223.5 0.487276
11229 0.487385
11234.4 0.487497
11239.9 0.487613
11245.3 0.487732
11250.8 0.487854
11256.2 0.48798
11261.7 0.488109
11267.1 0.488241
11272.6 0.488376
11278 0.488515
11283.5 0.488677
11288.9 0.488956
11294.4 0.489237
11299.8 0.489522
11305.3 0.48981
11310.7 0.490102
11316.2 0.490398
11321.7 0.490697
11327.1 0.490999
11332.6 0.491306
11338 0.491615
11343.5 0.491929
11348.9 0.492246
11354.4 0.492568
11359.8 0.492893
11365.3 0.493221
11370.7 0.493554
11376.2 0.49389
11381.6 0.49423
11387.1 0.494575
11392.5 0.494923
11398 0.495275
11403.4 0.495631
11408.9 0.49599
11414.3 0.496354
11419.8 0.496722
11425.2 0.497094
11430.7 0.497471
11436.1 0.497851
11441.6 0.498235
11447 0.498624
11452.5 0.499017
11457.9 0.499415
11463.4 0.499798
11468.8 0.500184
11474.3 0.500573
11479.8 0.500966
11485.2 0.501363
11490.7 0.501764
11496.1 0.50217
11501.6 0.50258
11507 0.502993
11512.5 0.503412
11517.9 0.503834
11523.4 0.504261
11528.8 0.504692
11534.3 0.505127
11539.7 0.505567
11545.2 0.506011
11550.6 0.50646
11556.1 0.506913
11561.5 0.507371
11567 0.507834
11572.4 0.508301
11577.9 0.508773
11583.3 0.50925
11588.8 0.509733
11594.2 0.51022
11599.7 0.510714
11605.1 0.511216
11610.6 0.511637
11616 0.512046
11621.5 0.512457
11626.9 0.512871
11632.4 0.513288
11637.9 0.513708
11643.3 0.514132
11648.8 0.514559
11654.2 0.51499
11659.7 0.515424
11665.1 0.515861
11670.6 0.516302
11676 0.516746
11681.5 0.517194
11686.9 0.517645
11692.4 0.5181
11697.8 0.518558
11703.3 0.519019
11708.7 0.519484
11714.2 0.519952
11719.6 0.520422
11725.1 0.520896
11730.5 0.521373
11736 0.521852
11741.4 0.522333
11746.9 0.522815
11752.3 0.523295
11757.8 0.523878
11763.2 0.524487
11768.7 0.525103
11774.1 0.525726
11779.6 0.526355
11785 0.52699
11790.5 0.527631
11796 0.528277
11801.4 0.528929
11806.9 0.529586
11812.3 0.530249
11817.8 0.530917
11823.2 0.531591
11828.7 0.532271
11834.1 0.532956
11839.6 0.533647
11845 0.534344
11850.5 0.535046
11855.9 0.535755
11861.4 0.53647
11866.8 0.537191
11872.3 0.537919
11877.7 0.538654
11883.2 0.539397
11888.6 0.540151
11894.1 0.540849
11899.5 0.541512
11905 0.542175
11910.4 0.542841
11915.9 0.543511
11921.3 0.544184
11926.8 0.544861
11932.2 0.545542
11937.7 0.546227
11943.1 0.546916
11948.6 0.54761
11954 0.548308
11959.5 0.549011
11965 0.549718
11970.4 0.550431
11975.9 0.551148
11981.3 0.551871
11986.8 0.552599
11992.2 0.553332
11997.7 0.554072
12003.1 0.554817
12008.6 0.55557
12014 0.556329
12019.5 0.557098
12024.9 0.557877
12030.4 0.558671
12035.8 0.559464
12041.3 0.559982
12046.7 0.560479
12052.2 0.560967
12057.6 0.561449
12063.1 0.561926
12068.5 0.562399
12074 0.562869
12079.4 0.563336
12084.9 0.5638
12090.3 0.56426
12095.8 0.564718
12101.2 0.565172
12106.7 0.565623
12112.1 0.566071
12117.6 0.566514
12123.1 0.566953
12128.5 0.567387
12134 0.567816
12139.4 0.568238
12144.9 0.568653
12150.3 0.569059
12155.8 0.569454
12161.2 0.569836
12166.7 0.570199
12172.1 0.570534
12177.6 0.570817
12183 0.571544
12188.5 0.572794
12193.9 0.574101
12199.4 0.575447
12204.8 0.576824
12210.3 0.578228
12215.7 0.579658
12221.2 0.581113
12226.6 0.582592
12232.1 0.584095
12237.5 0.585623
12243 0.587176
12248.4 0.588756
12253.9 0.590365
12259.3 0.592007
12264.8 0.593684
12270.2 0.595407
12275.7 0.597188
12281.2 0.599073
12286.6 0.600195
12292.1 0.600697
12297.5 0.601131
12303 0.601523
12308.4 0.601884
12313.9 0.602219
12319.3 0.602533
12324.8 0.602826
12330.2 0.603101
12335.7 0.603359
12341.1 0.6036
12346.6 0.603824
12352 0.604032
12357.5 0.604224
12362.9 0.604398
12368.4 0.604554
12373.8 0.604691
12379.3 0.604807
12384.7 0.604899
12390.2 0.604962
12395.6 0.604986
12401.1 0.604944
12406.5 0.6054
12412 0.606355
12417.4 0.607359
12422.9 0.608395
12428.3 0.609452
12433.8 0.610529
12439.3 0.611621
12444.7 0.612728
12450.2 0.613848
12455.6 0.614981
12461.1 0.616127
12466.5 0.617286
12472 0.618458
12477.4 0.619644
12482.9 0.620848
12488.3 0.622071
12493.8 0.623323
12499.2 0.624607
12504.7 0.625296
12510.1 0.62593
12515.6 0.626538
12521 0.627127
12526.5 0.627702
12531.9 0.628264
12537.4 0.628814
12542.8 0.629353
12548.3 0.629881
12553.7 0.630397
12559.2 0.630901
12564.6 0.631392
12570.1 0.631867
12575.5 0.632336
12581 0.63304
12586.4 0.63376
12591.9 0.634484
12597.4 0.635211
12602.8 0.635938
12608.3 0.636667
12613.7 0.637395
12619.2 0.638123
12624.6 0.638852
12630.1 0.639581
12635.5 0.640312
12641 0.641046
12646.4 0.641783
12651.9 0.642528
12657.3 0.643283
12662.8 0.644056
12668.2 0.644864
12673.7 0.645639
12679.1 0.645136
12684.6 0.644518
12690 0.643837
12695.5 0.643105
12700.9 0.642331
12706.4 0.641519
12711.8 0.64067
12717.3 0.639786
12722.7 0.638868
12728.2 0.637917
12733.6 0.636932
12739.1 0.635911
12744.5 0.634849
12750 0.633803
12755.5 0.633212
12760.9 0.632629
12766.4 0.632035
12771.8 0.631427
12777.3 0.6308
12782.7 0.63015
12788.2 0.62947
12793.6 0.628738
12799.1 0.628687
12804.5 0.629229
12810 0.62982
12815.4 0.630447
12820.9 0.631108
12826.3 0.631808
12831.8 0.632561
12837.2 0.633393
12842.7 0.634392
12848.1 0.631905
12853.6 0.626532
12859 0.620974
12864.5 0.615313
12869.9 0.609585
12875.4 0.603808
12880.8 0.597999
12886.3 0.592166
12891.7 0.586317
12897.2 0.580457
12902.6 0.574589
12908.1 0.568716
12913.6 0.562833
12919 0.556923
12924.5 0.552443
12929.9 0.54883
12935.4 0.545246
12940.8 0.541674
12946.3 0.53811
12951.7 0.534549
12957.2 0.53099
12962.6 0.527432
12968.1 0.523876
12973.5 0.520321
12979 0.516769
12984.4 0.513223
12989.9 0.509689
12995.3 0.505895
13000.8 0.500448
13006.2 0.494994
13011.7 0.489553
13017.1 0.484134
13022.6 0.478741
13028 0.473375
13033.5 0.468039
13038.9 0.462735
13044.4 0.457462
13049.8 0.452223
13055.3 0.447018
13060.7 0.441847
13066.2 0.43671
13071.7 0.431609
13077.1 0.426542
13082.6 0.421512
13088 0.416516
13093.5 0.411556
13098.9 0.406632
13104.4 0.401743
13109.8 0.396889
13115.3 0.39207
13120.7 0.387285
13126.2 0.382535
13131.6 0.37782
13137.1 0.373138
13142.5 0.368489
13148 0.363873
13153.4 0.359288
13158.9 0.354735
13164.3 0.350212
13169.8 0.345716
13175.2 0.341246
13180.7 0.336794
13186.1 0.33336
13191.6 0.331824
13197 0.330285
13202.5 0.328734
13207.9 0.327168
13213.4 0.325583
13218.8 0.32398
13224.3 0.322356
13229.8 0.320711
13235.2 0.319044
13240.7 0.317354
13246.1 0.315641
13251.6 0.313904
13257 0.312143
13262.5 0.31034
13267.9 0.308331
13273.4 0.306297
13278.8 0.304238
13284.3 0.302155
13289.7 0.300046
13295.2 0.297912
13300.6 0.295752
13306.1 0.293566
13311.5 0.291354
13317 0.289113
13322.4 0.286842
13327.9 0.284538
13333.3 0.282189
13338.8 0.281666
13344.2 0.282427
13349.7 0.283175
13355.1 0.283901
13360.6 0.284603
13366 0.285278
13371.5 0.285926
13376.9 0.286547
13382.4 0.287146
13387.9 0.286885
13393.3 0.286
13398.8 0.285072
13404.2 0.284107
13409.7 0.283107
13415.1 0.282075
13420.6 0.281014
13426 0.279925
13431.5 0.278811
13436.9 0.277674
13442.4 0.276516
13447.8 0.275339
