W N2
10000 0.000261003
10007.7 0.000261691
10015.3 0.000262382
10023 0.000263076
10030.6 0.000263772
10038.3 0.000264472
10045.9 0.000265173
10053.6 0.000265878
10061.2 0.000266585
10068.9 0.000267296
10076.5 0.000268008
10084.2 0.000268724
10091.8 0.000269443
10099.5 0.000270164
10107.1 0.000270888
10114.8 0.000271616
10122.4 0.000272346
10130.1 0.000273078
10137.7 0.000273814
10145.4 0.000274553
10153 0.000275295
10160.7 0.00027604
10168.3 0.000276788
10176 0.000277538
10183.6 0.000278292
10191.3 0.000279049
10198.9 0.000279809
10206.6 0.000280572
10214.2 0.000281339
10221.9 0.000282108
10229.5 0.00028288
10237.2 0.000283656
10244.8 0.000284435
10252.5 0.000285217
10260.1 0.000286003
10267.8 0.000286792
10275.4 0.000287584
10283.1 0.000288379
10290.7 0.000289178
10298.4 0.00028998
10306 0.000290786
10313.7 0.000291595
10321.3 0.000292407
10329 0.000293223
10336.6 0.000294042
10344.3 0.000294865
10351.9 0.000295691
10359.6 0.000296521
10367.2 0.000297355
10374.9 0.000298192
10382.5 0.000299033
10390.2 0.000299877
10397.8 0.000300726
10405.5 0.000301577
10413.1 0.000302433
10420.8 0.000303293
10428.4 0.000304156
10436.1 0.000305023
10443.7 0.000305894
10451.4 0.000306769
10459 0.000307647
10466.7 0.00030853
10474.3 0.000309417
10482 0.000310308
10489.6 0.000311202
10497.3 0.000312101
10504.9 0.000313004
10512.6 0.000313911
10520.2 0.000314823
10527.9 0.000315738
10535.5 0.000316658
10543.2 0.000317582
10550.8 0.00031851
10558.5 0.000319442
10566.1 0.000320379
10573.8 0.000321321
10581.4 0.000322267
10589.1 0.000323217
10596.7 0.000324172
10604.4 0.000325131
10612 0.000326095
10619.7 0.000327063
10627.3 0.000328037
10635 0.000329014
10642.6 0.000329997
10650.3 0.000330984
10657.9 0.000331976
10665.6 0.000332973
10673.2 0.000333975
10680.9 0.000334982
10688.5 0.000335994
10696.2 0.000337011
10703.8 0.000338033
10711.5 0.000339059
10719.1 0.000340091
10726.8 0.000341129
10734.4 0.000342171
10742.1 0.000343219
10749.7 0.000344272
10757.4 0.00034533
10765 0.000346394
10772.7 0.000347463
