W N1
10000 8.04227e-05
10007.7 8.02946e-05
10015.3 8.01657e-05
10023 8.00361e-05
10030.6 7.99057e-05
10038.3 7.97745e-05
10045.9 7.96425e-05
10053.6 7.95097e-05
10061.2 7.93762e-05
10068.9 7.92418e-05
10076.5 7.91067e-05
10084.2 7.89707e-05
10091.8 7.8834e-05
10099.5 7.86965e-05
10107.1 7.85581e-05
10114.8 7.8419e-05
10122.4 7.8279e-05
10130.1 7.81383e-05
10137.7 7.79967e-05
10145.4 7.78543e-05
10153 7.77111e-05
10160.7 7.75671e-05
10168.3 7.74222e-05
10176 7.72765e-05
10183.6 7.71301e-05
10191.3 7.69827e-05
10198.9 7.68346e-05
10206.6 7.66856e-05
10214.2 7.65358e-05
10221.9 7.63851e-05
10229.5 7.62336e-05
10237.2 7.60813e-05
10244.8 7.59282e-05
10252.5 7.57741e-05
10260.1 7.56193e-05
10267.8 7.54636e-05
10275.4 7.53071e-05
10283.1 7.51497e-05
10290.7 7.49914e-05
10298.4 7.48323e-05
10306 7.46724e-05
10313.7 7.45116e-05
10321.3 7.43499e-05
10329 7.41874e-05
10336.6 7.4024e-05
10344.3 7.38598e-05
10351.9 7.36947e-05
10359.6 7.35288e-05
10367.2 7.33619e-05
10374.9 7.31943e-05
10382.5 7.30257e-05
10390.2 7.28563e-05
10397.8 7.2686e-05
10405.5 7.25149e-05
10413.1 7.23429e-05
10420.8 7.217e-05
10428.4 7.19962e-05
10436.1 7.18216e-05
10443.7 7.16461e-05
10451.4 7.14698e-05
10459 7.12925e-05
10466.7 7.11144e-05
10474.3 7.09355e-05
10482 7.07556e-05
10489.6 7.05749e-05
10497.3 7.03933e-05
10504.9 7.02109e-05
10512.6 7.00276e-05
10520.2 6.98434e-05
10527.9 6.96583e-05
10535.5 6.94724e-05
10543.2 6.92855e-05
10550.8 6.90979e-05
10558.5 6.89093e-05
10566.1 6.87199e-05
10573.8 6.85296e-05
10581.4 6.83385e-05
10589.1 6.81465e-05
10596.7 6.79536e-05
10604.4 6.77599e-05
10612 6.75653e-05
10619.7 6.73699e-05
10627.3 6.71735e-05
10635 6.69764e-05
10642.6 6.67784e-05
10650.3 6.65795e-05
10657.9 6.63798e-05
10665.6 6.61792e-05
10673.2 6.59778e-05
10680.9 6.57755e-05
10688.5 6.55724e-05
10696.2 6.53684e-05
10703.8 6.51636e-05
10711.5 6.4958e-05
10719.1 6.47515e-05
10726.8 6.45442e-05
10734.4 6.43361e-05
10742.1 6.41271e-05
10749.7 6.39174e-05
10757.4 6.37068e-05
10765 6.34953e-05
10772.7 6.32831e-05
10780.3 6.307e-05
10788 6.28562e-05
10795.6 6.26415e-05
10803.3 6.2426e-05
10810.9 6.22097e-05
10818.6 6.19926e-05
10826.2 6.17748e-05
10833.9 6.15561e-05
10841.5 6.13366e-05
10849.2 6.11164e-05
10856.8 6.08953e-05
10864.5 6.06735e-05
10872.1 6.04509e-05
10879.8 6.02275e-05
10887.4 6.00033e-05
10895.1 5.97783e-05
10902.7 5.95526e-05
10910.4 5.93261e-05
10918 5.90987e-05
10925.7 5.88707e-05
10933.3 5.86418e-05
10941 5.84121e-05
10948.6 5.81817e-05
10956.3 5.79504e-05
10963.9 5.77183e-05
10971.6 5.74854e-05
10979.2 5.72517e-05
10986.9 5.70171e-05
10994.5 5.67817e-05
11002.2 5.65453e-05
11009.8 5.6308e-05
11017.5 5.60698e-05
11025.1 5.58305e-05
11032.8 5.55901e-05
11040.4 5.53486e-05
11048.1 5.51058e-05
11055.7 5.48616e-05
11063.4 5.46158e-05
11071 5.43681e-05
11078.7 5.41181e-05
11086.3 5.38654e-05
11094 5.36091e-05
11101.6 5.33476e-05
11109.3 5.30782e-05
11116.9 5.27938e-05
11124.6 5.25761e-05
11132.2 5.33949e-05
11139.9 5.42887e-05
11147.5 5.52692e-05
11155.2 5.5279e-05
11162.8 5.50652e-05
11170.5 5.4835e-05
11178.1 5.44741e-05
11185.8 5.40049e-05
11193.4 5.35131e-05
11201.1 5.31324e-05
11208.7 5.30427e-05
11216.4 5.29682e-05
11224 5.28959e-05
11231.7 5.25945e-05
11239.3 5.22796e-05
11247 5.1953e-05
11254.6 5.18134e-05
11262.3 5.17533e-05
11269.9 5.17107e-05
11277.6 5.14371e-05
11285.2 5.08094e-05
11292.9 5.01512e-05
11300.5 4.95255e-05
11308.2 4.93991e-05
11315.8 4.929e-05
11323.5 4.91835e-05
11331.1 4.9286e-05
11338.8 4.94723e-05
11346.4 4.96851e-05
11354.1 4.96693e-05
11361.7 4.92631e-05
11369.4 4.88399e-05
11377 4.83992e-05
11384.7 4.77151e-05
11392.3 4.70029e-05
11400 4.62586e-05
11407.7 4.60933e-05
11415.3 4.62769e-05
11423 4.6488e-05
11430.6 4.6623e-05
11438.3 4.64511e-05
11445.9 4.6271e-05
11453.6 4.60847e-05
11461.2 4.60913e-05
11468.9 4.61541e-05
11476.5 4.62432e-05
11484.2 4.58814e-05
11491.8 4.47295e-05
11499.5 4.35153e-05
11507.1 4.22207e-05
11514.8 4.26645e-05
11522.4 4.32398e-05
11530.1 4.3865e-05
11537.7 4.40851e-05
11545.4 4.38041e-05
11553 4.35093e-05
11560.7 4.32093e-05
11568.3 4.26844e-05
11576 4.21414e-05
11583.6 4.15853e-05
11591.3 4.10625e-05
11598.9 4.05767e-05
11606.6 4.00805e-05
11614.2 3.95664e-05
11621.9 3.97558e-05
11629.5 3.99784e-05
11637.2 4.02252e-05
11644.8 4.02462e-05
11652.5 3.99671e-05
11660.1 3.96824e-05
11667.8 3.94087e-05
11675.4 3.84574e-05
11683.1 3.74061e-05
11690.7 3.63165e-05
11698.4 3.56092e-05
11706 3.56817e-05
11713.7 3.57741e-05
11721.3 3.58776e-05
11729 3.59809e-05
11736.6 3.60897e-05
11744.3 3.62092e-05
11751.9 3.62477e-05
11759.6 3.58258e-05
11767.2 3.53855e-05
11774.9 3.49362e-05
11782.5 3.42316e-05
11790.2 3.33032e-05
11797.8 3.23412e-05
11805.5 3.13308e-05
11813.1 3.16129e-05
11820.8 3.20097e-05
11828.4 3.24324e-05
11836.1 3.26083e-05
11843.7 3.20687e-05
11851.4 3.15012e-05
11859 3.09166e-05
11866.7 3.00512e-05
11874.3 2.89865e-05
11882 2.78837e-05
11889.6 2.67341e-05
11897.3 2.64753e-05
11904.9 2.62726e-05
11912.6 2.60645e-05
11920.2 2.58257e-05
11927.9 2.55025e-05
11935.5 2.51645e-05
11943.2 2.48144e-05
11950.8 2.41439e-05
11958.5 2.31501e-05
11966.1 2.21155e-05
11973.8 2.10435e-05
11981.4 1.97364e-05
11989.1 1.83255e-05
11996.7 1.6861e-05
12004.4 1.53918e-05
12012 1.52682e-05
12019.7 1.5138e-05
12027.3 1.4992e-05
12035 1.45813e-05
12042.6 1.34192e-05
12050.3 1.21957e-05
12057.9 1.09154e-05
12065.6 9.30956e-06
12073.2 7.32652e-06
12080.9 5.25984e-06
12088.5 3.10708e-06
12096.2 1.53451e-06
12103.8 2.26496e-07
12111.5 -1.15035e-06
12119.1 -2.60131e-06
12126.8 -4.26225e-06
12134.4 -6.0355e-06
12142.1 -7.90093e-06
12149.7 -9.8623e-06
12157.4 -1.26822e-05
12165 -1.56308e-05
12172.7 -1.87085e-05
12180.3 -2.18262e-05
12188 -2.44974e-05
12195.6 -2.73011e-05
12203.3 -3.02442e-05
12210.9 -3.32347e-05
12218.6 -3.60915e-05
12226.2 -3.91045e-05
12233.9 -4.22822e-05
12241.5 -4.59237e-05
12249.2 -5.02754e-05
12256.8 -5.48265e-05
12264.5 -5.95866e-05
12272.1 -6.47371e-05
12279.8 -7.03311e-05
12287.4 -7.61539e-05
12295.1 -8.22043e-05
12302.7 -8.75985e-05
12310.4 -9.23949e-05
12318 -9.74648e-05
12325.7 -0.000102817
12333.3 -0.000109039
12341 -0.000116026
12348.6 -0.000123318
12356.3 -0.000130942
12363.9 -0.00013969
12371.6 -0.000149331
12379.2 -0.000159284
12386.9 -0.000169525
12394.5 -0.00017848
12402.2 -0.000186741
12409.8 -0.000195433
12417.5 -0.000204562
12425.1 -0.000215128
12432.8 -0.000226811
12440.4 -0.000238864
12448.1 -0.000251306
12455.7 -0.000264204
12463.4 -0.000277539
12471 -0.000291251
12478.7 -0.00030532
12486.3 -0.000319193
12494 -0.000332935
12501.6 -0.000347106
12509.3 -0.000361681
12516.9 -0.000376778
12524.6 -0.000392401
12532.2 -0.000408348
12539.9 -0.000424612
12547.5 -0.000441651
12555.2 -0.00045973
12562.8 -0.000477598
12570.5 -0.000494829
12578.1 -0.000508427
12585.8 -0.0005235
12593.4 -0.000542535
12601.1 -0.000564656
12608.7 -0.000591982
12616.4 -0.000620641
12624 -0.000646329
12631.7 -0.000671911
12639.3 -0.000699325
12647 -0.000729708
12654.6 -0.000754371
12662.3 -0.000776079
12669.9 -0.000794795
12677.6 -0.000809585
12685.2 -0.000825226
12692.9 -0.00083992
12700.5 -0.000852393
12708.2 -0.000858694
12715.8 -0.000869277
12723.5 -0.000882227
12731.1 -0.000896487
12738.8 -0.000912119
12746.4 -0.000929021
12754.1 -0.000946316
12761.7 -0.000964184
12769.4 -0.000983516
12777 -0.00100272
12784.7 -0.00101953
12792.3 -0.00103489
12800 -0.00104814
12807.7 -0.00105793
12815.3 -0.00107138
12823 -0.00108654
12830.6 -0.00110339
12838.3 -0.00112427
12845.9 -0.00114392
12853.6 -0.00116252
12861.2 -0.0011807
12868.9 -0.00119895
12876.5 -0.00121493
12884.2 -0.00123031
12891.8 -0.00124558
12899.5 -0.00126145
12907.1 -0.00127882
12914.8 -0.00129361
12922.4 -0.00130721
12930.1 -0.00132018
12937.7 -0.00133401
12945.4 -0.00134518
12953 -0.00135374
12960.7 -0.00135944
12968.3 -0.00135898
12976 -0.00135819
12983.6 -0.00136109
12991.3 -0.0013648
12998.9 -0.00136793
13006.6 -0.00136792
13014.2 -0.0013728
13021.9 -0.00138071
13029.5 -0.00139172
13037.2 -0.00140969
13044.8 -0.00142643
13052.5 -0.00144055
13060.1 -0.00145366
13067.8 -0.00146632
13075.4 -0.00147853
13083.1 -0.00148975
13090.7 -0.00150042
13098.4 -0.00151051
13106 -0.00151938
13113.7 -0.00152892
13121.3 -0.001539
13129 -0.00154944
13136.6 -0.00156022
13144.3 -0.0015706
13151.9 -0.00158105
13159.6 -0.00159203
13167.2 -0.00160395
13174.9 -0.00161904
13182.5 -0.00163262
13190.2 -0.00164446
13197.8 -0.00165528
13205.5 -0.00166523
13213.1 -0.00167473
13220.8 -0.00168399
13228.4 -0.00169252
13236.1 -0.0016999
13243.7 -0.00170368
13251.4 -0.00170814
13259 -0.00171478
13266.7 -0.00172255
13274.3 -0.00173114
13282 -0.00174083
13289.6 -0.00175155
13297.3 -0.00176307
13304.9 -0.00177557
13312.6 -0.00178992
13320.2 -0.00180532
13327.9 -0.00181912
13335.5 -0.00183257
13343.2 -0.00184598
13350.8 -0.00185956
13358.5 -0.00187267
13366.1 -0.00188571
13373.8 -0.00189886
13381.4 -0.00191229
13389.1 -0.00192634
13396.7 -0.00193993
13404.4 -0.00195349
13412 -0.00196726
13419.7 -0.00198179
13427.3 -0.00199674
13435 -0.00201055
13442.6 -0.00202401
13450.3 -0.00203741
13457.9 -0.00205157
13465.6 -0.00206386
13473.2 -0.00207479
13480.9 -0.0020846
13488.5 -0.002093
13496.2 -0.00209925
13503.8 -0.00210727
13511.5 -0.00211542
13519.1 -0.00212292
13526.8 -0.00212836
13534.4 -0.0021306
13542.1 -0.00213898
13549.7 -0.0021502
13557.4 -0.00216391
13565 -0.00218136
13572.7 -0.00220028
13580.3 -0.0022164
13588 -0.00223215
13595.6 -0.00224819
13603.3 -0.0022666
13610.9 -0.00228344
13618.6 -0.00229757
13626.2 -0.00230969
13633.9 -0.00231926
13641.5 -0.00232219
13649.2 -0.00232948
13656.8 -0.00234014
13664.5 -0.00235264
13672.1 -0.00236652
13679.8 -0.00238166
13687.4 -0.00239765
13695.1 -0.00241463
13702.7 -0.0024328
13710.4 -0.00245272
13718 -0.0024764
13725.7 -0.00249734
13733.3 -0.0025169
13741 -0.00253547
13748.6 -0.00255268
13756.3 -0.00256702
13763.9 -0.00258444
13771.6 -0.00260349
13779.2 -0.00262384
13786.9 -0.00264577
13794.5 -0.00267023
13802.2 -0.0026934
13809.8 -0.00271633
13817.5 -0.00273935
13825.1 -0.00276276
13832.8 -0.00278662
13840.4 -0.00280923
13848.1 -0.00283133
13855.7 -0.00285292
13863.4 -0.00287358
13871 -0.00289267
13878.7 -0.00291427
13886.3 -0.0029369
13894 -0.00296019
13901.6 -0.00298381
13909.3 -0.00300747
13916.9 -0.00303311
13924.6 -0.00306012
13932.2 -0.00308858
13939.9 -0.00311919
13947.5 -0.00315386
13955.2 -0.00318429
13962.8 -0.00321286
13970.5 -0.00324002
13978.1 -0.00326546
13985.8 -0.00328726
13993.4 -0.00331194
14001.1 -0.00333785
14008.7 -0.00336411
14016.4 -0.00338984
14024 -0.00341184
14031.7 -0.00343913
14039.3 -0.00347039
14047 -0.00350484
14054.6 -0.00354295
14062.3 -0.00358934
14069.9 -0.00363246
14077.6 -0.003672
14085.2 -0.00370999
14092.9 -0.00374691
14100.5 -0.00378251
14108.2 -0.00381757
14115.8 -0.0038528
14123.5 -0.00388755
14131.1 -0.00392123
14138.8 -0.00395185
14146.4 -0.00397917
14154.1 -0.00401469
14161.7 -0.00405398
14169.4 -0.00409655
14177 -0.00414314
14184.7 -0.00419628
14192.3 -0.0042448
14200 -0.00429201
14207.7 -0.00433886
14215.3 -0.00438579
14223 -0.00443356
14230.6 -0.00448068
14238.3 -0.0045274
14245.9 -0.0045739
14253.6 -0.00462017
14261.2 -0.0046656
14268.9 -0.00471146
14276.5 -0.00475897
14284.2 -0.00480767
14291.8 -0.00485787
14299.5 -0.00491098
14307.1 -0.00496889
14314.8 -0.00501968
14322.4 -0.00506741
14330.1 -0.00511294
14337.7 -0.00515654
14345.4 -0.00519866
14353 -0.00523911
14360.7 -0.00527732
14368.3 -0.00531303
14376 -0.00534559
14383.6 -0.0053724
14391.3 -0.00539541
14398.9 -0.00542333
14406.6 -0.0054524
14414.2 -0.00548244
14421.9 -0.0055152
14429.5 -0.00555896
14437.2 -0.00558744
14444.8 -0.00560532
14452.5 -0.00561373
14460.1 -0.00561115
14467.8 -0.00558564
14475.4 -0.00555412
14483.1 -0.00553101
14490.7 -0.00550857
14498.4 -0.0054851
14506 -0.00546114
14513.7 -0.00544465
14521.3 -0.00541548
14529 -0.00537501
14536.6 -0.0053235
14544.3 -0.00525938
14551.9 -0.00517243
14559.6 -0.0050738
14567.2 -0.00497779
14574.9 -0.00487847
14582.5 -0.00477514
14590.2 -0.0046701
14597.8 -0.00457596
14605.5 -0.00445625
14613.1 -0.00431666
14620.8 -0.00415889
14628.4 -0.00398077
14636.1 -0.00376795
14643.7 -0.00351128
14651.4 -0.00328245
14659 -0.00306289
14666.7 -0.00285242
14674.3 -0.00265775
14682 -0.00251944
14689.6 -0.00235078
14697.3 -0.00215432
14704.9 -0.00194221
14712.6 -0.00171821
14720.2 -0.00148182
14727.9 -0.00122091
14735.5 -0.000968187
14743.2 -0.000720381
14750.8 -0.000476847
14758.5 -0.000238205
14766.1 -7.35823e-06
14773.8 0.000212149
14781.4 0.000430007
14789.1 0.000643643
14796.7 0.000851796
14804.4 0.00105263
14812 0.00123076
14819.7 0.00139043
14827.3 0.00154998
14835 0.0017078
14842.6 0.00186443
14850.3 0.00202342
14857.9 0.00220186
14865.6 0.00235701
14873.2 0.00249468
14880.9 0.00261768
14888.5 0.00272626
14896.2 0.00281807
14903.8 0.00289106
14911.5 0.00296459
14919.1 0.00303234
14926.8 0.00309336
14934.4 0.00314758
