W N1
10000 0.000279185
10009.9 0.000279769
10019.8 0.000280346
10029.8 0.000280914
10039.7 0.000281474
10049.6 0.000282025
10059.5 0.000282567
10069.5 0.0002831
10079.4 0.000283623
10089.3 0.000284137
10099.2 0.00028464
10109.1 0.000285132
10119.1 0.000285614
10129 0.000286084
10138.9 0.000286542
10148.8 0.000286989
10158.8 0.000287423
10168.7 0.000287844
10178.6 0.000288251
10188.5 0.000288646
10198.4 0.000289026
10208.4 0.000289391
10218.3 0.000289742
10228.2 0.000290077
10238.1 0.000290397
10248.1 0.0002907
10258 0.000290986
10267.9 0.000291255
10277.8 0.000291506
10287.7 0.000291739
10297.7 0.000291953
10307.6 0.000292148
10317.5 0.000292323
10327.4 0.000292477
10337.3 0.00029261
10347.3 0.000292721
10357.2 0.000292811
10367.1 0.000292877
10377 0.00029292
10387 0.000292939
10396.9 0.000292932
10406.8 0.000292901
10416.7 0.000292843
10426.6 0.000292758
10436.6 0.000292646
10446.5 0.000292506
10456.4 0.000292336
10466.3 0.000292137
10476.3 0.000291907
10486.2 0.000291645
10496.1 0.000291352
10506 0.000291025
10515.9 0.000290665
10525.9 0.00029027
10535.8 0.000289839
10545.7 0.000289372
10555.6 0.000288867
10565.6 0.000288325
10575.5 0.000287742
10585.4 0.00028712
10595.3 0.000286457
10605.2 0.000285751
10615.2 0.000285002
10625.1 0.000284208
10635 0.00028337
10644.9 0.000282485
10654.9 0.000281552
10664.8 0.000280571
10674.7 0.00027954
10684.6 0.000278458
10694.5 0.000277324
10704.5 0.000276137
10714.4 0.000274896
10724.3 0.000273598
10734.2 0.000272244
10744.2 0.000270831
10754.1 0.000269359
10764 0.000267826
10773.9 0.00026623
10783.8 0.000264571
10793.8 0.000262847
10803.7 0.000261057
10813.6 0.000259199
10823.5 0.000257272
10833.5 0.000255274
10843.4 0.000253204
10853.3 0.00025106
10863.2 0.000248841
10873.1 0.000246546
10883.1 0.000244172
10893 0.000241718
10902.9 0.000239183
10912.8 0.000236565
10922.7 0.000233862
10932.7 0.000231073
10942.6 0.000228196
10952.5 0.000225229
10962.4 0.000222171
10972.4 0.000219019
10982.3 0.000215773
10992.2 0.000212429
11002.1 0.000208987
11012 0.000205445
11022 0.000201799
11031.9 0.00019805
11041.8 0.000194193
11051.7 0.000190227
11061.7 0.00018615
11071.6 0.000181958
11081.5 0.000177646
11091.4 0.000173211
11101.3 0.000168644
11111.3 0.000163926
11121.2 0.000158997
11131.1 0.000156111
11141 0.000154303
11151 0.000152021
11160.9 0.000147021
11170.8 0.00014178
11180.7 0.000135949
11190.6 0.000129721
11200.6 0.000123492
11210.5 0.000118084
11220.4 0.000112598
11230.3 0.000106552
11240.3 0.000100101
11250.2 9.35662e-05
11260.1 8.75327e-05
11270 8.14099e-05
11279.9 7.42367e-05
11289.9 6.61326e-05
11299.8 5.78332e-05
11309.7 5.09526e-05
11319.6 4.39678e-05
11329.6 3.71788e-05
11339.5 3.07046e-05
