W E1 E2
12000 2.92283 0.0656299
12005 2.92941 0.0643377
12009.9 2.93389 0.0680467
12014.9 2.93624 0.0717562
12019.8 2.93738 0.0754659
12024.8 2.93745 0.0791761
12029.7 2.93626 0.0828866
12034.7 2.9325 0.0851324
12039.7 2.93028 0.0848566
12044.6 2.92881 0.0845812
12049.6 2.9276 0.0843062
12054.5 2.92642 0.0840315
12059.5 2.925 0.0837572
12064.4 2.92266 0.0823024
12069.4 2.92181 0.0797526
12074.4 2.92178 0.0772032
12079.3 2.92244 0.0746542
12084.3 2.92384 0.0721055
12089.2 2.9264 0.0695573
12094.2 2.93084 0.0695079
12099.2 2.93318 0.0708531
12104.1 2.93474 0.0721987
12109.1 2.93582 0.0735446
12114 2.93651 0.074891
12119 2.93677 0.0762378
12123.9 2.93659 0.0771521
12128.9 2.93651 0.077912
12133.9 2.93631 0.0786722
12138.8 2.93591 0.0794329
12143.8 2.93515 0.080194
12148.7 2.93362 0.0809555
12153.7 2.93127 0.0794895
12158.6 2.93058 0.0774752
12163.6 2.93058 0.0754613
12168.6 2.93113 0.0734479
12173.5 2.93227 0.0714349
12178.5 2.93436 0.0694223
12183.4 2.9373 0.0694283
12188.4 2.93907 0.0698208
12193.3 2.94053 0.0702137
12198.3 2.94186 0.0706071
12203.3 2.94318 0.0710009
12208.2 2.94475 0.0713951
12213.2 2.94649 0.0729201
12218.1 2.94731 0.0746492
12223.1 2.94765 0.0763787
12228 2.94754 0.0781086
12233 2.94689 0.079839
12238 2.94527 0.0815699
12242.9 2.94273 0.0810454
12247.9 2.94163 0.0800465
12252.8 2.94095 0.0790481
12257.8 2.94051 0.0780502
12262.7 2.94019 0.0770527
12267.7 2.93977 0.0760558
12272.7 2.93919 0.0740759
12277.6 2.93963 0.0718115
12282.6 2.94068 0.0695475
12287.5 2.94235 0.067284
12292.5 2.94483 0.065021
12297.5 2.94881 0.0627585
12302.4 2.95504 0.064318
12307.4 2.95807 0.0675578
12312.3 2.95982 0.0707981
12317.3 2.96064 0.0740389
12322.2 2.96057 0.0772802
12327.2 2.95935 0.0805221
12332.2 2.95624 0.0818982
12337.1 2.95458 0.0819461
12342.1 2.95331 0.0819946
12347 2.9521 0.0820436
12352 2.95073 0.0820931
12356.9 2.9488 0.0821432
12361.9 2.94506 0.0804399
12366.9 2.94368 0.0765356
12371.8 2.9437 0.0726318
12376.8 2.9448 0.0687286
12381.7 2.94707 0.064826
12386.7 2.95096 0.0609239
12391.6 2.95918 0.0590974
12396.6 2.96435 0.0628167
12401.6 2.96724 0.0665366
12406.5 2.96881 0.070257
12411.5 2.96928 0.0739781
12416.4 2.9685 0.0776997
12421.4 2.96498 0.0810841
12426.3 2.96199 0.0800196
12431.3 2.9606 0.0789557
12436.3 2.95981 0.0778923
12441.2 2.95938 0.0768296
12446.2 2.9592 0.0757675
12451.1 2.95918 0.074706
12456.1 2.9593 0.0734001
12461 2.95981 0.0720473
12466 2.96061 0.0706952
12471 2.96174 0.0693438
12475.9 2.96328 0.0679929
12480.9 2.96552 0.0666427
12485.8 2.96913 0.0669025
12490.8 2.9712 0.0683558
12495.8 2.97261 0.0698097
12500.7 2.9736 0.0712643
12505.7 2.97424 0.0727195
12510.6 2.97449 0.0741754
12515.6 2.97412 0.0754195
12520.5 2.97385 0.076116
12525.5 2.97358 0.0768131
12530.5 2.97317 0.077511
12535.4 2.97252 0.0782095
12540.4 2.97142 0.0789087
12545.3 2.96908 0.0796087
12550.3 2.96649 0.0769234
12555.2 2.96586 0.074071
12560.2 2.9661 0.0712193
12565.2 2.9671 0.0683684
12570.1 2.96893 0.0655181
12575.1 2.97204 0.0626686
12580 2.97739 0.0624327
12585 2.98042 0.0639803
12589.9 2.98256 0.0655286
12594.9 2.98419 0.0670776
12599.9 2.98544 0.0686275
12604.8 2.98636 0.0701781
12609.8 2.98695 0.0717062
12614.7 2.98731 0.0731448
12619.7 2.98744 0.0745841
12624.6 2.98728 0.0760242
12629.6 2.98677 0.0774651
12634.6 2.98576 0.0789067
12639.5 2.98373 0.0803492
12644.5 2.98054 0.0791516
12649.4 2.97927 0.0772161
12654.4 2.9787 0.0752814
12659.3 2.9786 0.0733475
12664.3 2.97891 0.0714144
