W TT
12000 -0.000223625
12005 -0.000223482
12010.1 -0.000223077
12015.1 -0.0002228
12020.2 -0.000222596
12025.2 -0.000222458
12030.3 -0.000222399
12035.3 -0.000222643
12040.4 -0.000222945
12045.4 -0.000223208
12050.5 -0.000223457
12055.5 -0.000223705
12060.6 -0.000223976
12065.6 -0.000224419
12070.7 -0.000224814
12075.7 -0.000225161
12080.7 -0.000225464
12085.8 -0.000225715
12090.8 -0.00022586
12095.9 -0.000225673
12100.9 -0.000225587
12106 -0.00022554
12111 -0.000225518
12116.1 -0.000225521
12121.1 -0.000225564
12126.2 -0.000225649
12131.2 -0.000225736
12136.3 -0.000225832
12141.3 -0.000225943
12146.4 -0.000226084
12151.4 -0.00022639
12156.5 -0.000226758
12161.5 -0.000227071
12166.5 -0.000227345
12171.6 -0.000227583
12176.6 -0.000227773
12181.7 -0.00022778
12186.7 -0.000227755
12191.8 -0.000227755
12196.8 -0.000227766
12201.9 -0.000227778
12206.9 -0.000227781
12212 -0.000227692
12217 -0.000227618
12222.1 -0.000227575
12227.1 -0.000227559
12232.2 -0.000227575
12237.2 -0.000227642
12242.2 -0.000227934
12247.3 -0.000228203
12252.3 -0.000228441
12257.4 -0.000228662
12262.4 -0.000228874
12267.5 -0.000229089
12272.5 -0.000229389
12277.6 -0.000229649
12282.6 -0.000229868
12287.7 -0.000230045
12292.7 -0.000230167
12297.8 -0.000230185
12302.8 -0.00022975
12307.9 -0.000229415
12312.9 -0.000229158
12318 -0.000228958
12323 -0.000228815
12328 -0.000228753
12333.1 -0.000228974
12338.1 -0.000229159
12343.2 -0.000229325
12348.2 -0.000229489
12353.3 -0.000229666
12358.3 -0.000229893
12363.4 -0.000230421
12368.4 -0.000230864
12373.5 -0.000231226
12378.5 -0.000231515
12383.6 -0.000231719
12388.6 -0.000231781
12393.7 -0.000231234
12398.7 -0.000230768
12403.7 -0.000230412
12408.8 -0.000230131
12413.8 -0.000229922
12418.9 -0.000229811
12423.9 -0.000230075
12429 -0.000230342
12434 -0.000230553
12439.1 -0.000230733
12444.1 -0.000230892
12449.2 -0.000231036
12454.2 -0.000231183
12459.3 -0.000231316
12464.3 -0.000231427
12469.4 -0.000231516
12474.4 -0.000231578
12479.5 -0.000231601
