W TT
10000 -0.000114077
10008.3 -0.000114285
10016.6 -0.000114494
10025 -0.000114703
10033.3 -0.000114912
10041.6 -0.000115121
10049.9 -0.000115331
10058.2 -0.000115541
10066.6 -0.000115751
10074.9 -0.000115961
10083.2 -0.000116171
10091.5 -0.000116382
10099.8 -0.000116593
10108.2 -0.000116804
10116.5 -0.000117015
10124.8 -0.000117226
10133.1 -0.000117438
10141.4 -0.00011765
10149.8 -0.000117862
10158.1 -0.000118074
10166.4 -0.000118286
10174.7 -0.000118499
10183 -0.000118712
10191.3 -0.000118925
10199.7 -0.000119138
10208 -0.000119351
10216.3 -0.000119564
10224.6 -0.000119778
10232.9 -0.000119992
10241.3 -0.000120206
10249.6 -0.00012042
10257.9 -0.000120634
10266.2 -0.000120848
10274.5 -0.000121063
10282.9 -0.000121277
10291.2 -0.000121492
10299.5 -0.000121707
10307.8 -0.000121922
10316.1 -0.000122138
10324.5 -0.000122353
10332.8 -0.000122569
10341.1 -0.000122784
10349.4 -0.000123
10357.7 -0.000123216
10366.1 -0.000123432
10374.4 -0.000123648
10382.7 -0.000123864
10391 -0.000124081
10399.3 -0.000124297
10407.7 -0.000124514
10416 -0.00012473
10424.3 -0.000124947
10432.6 -0.000125164
10440.9 -0.000125381
10449.3 -0.000125598
10457.6 -0.000125815
10465.9 -0.000126032
10474.2 -0.000126249
10482.5 -0.000126467
10490.8 -0.000126684
10499.2 -0.000126902
10507.5 -0.000127119
10515.8 -0.000127336
10524.1 -0.000127554
10532.4 -0.000127772
10540.8 -0.000127989
10549.1 -0.000128207
10557.4 -0.000128424
10565.7 -0.000128642
10574 -0.00012886
10582.4 -0.000129078
10590.7 -0.000129295
10599 -0.000129513
10607.3 -0.000129731
10615.6 -0.000129948
10624 -0.000130166
10632.3 -0.000130383
10640.6 -0.000130601
10648.9 -0.000130818
10657.2 -0.000131036
10665.6 -0.000131253
10673.9 -0.00013147
10682.2 -0.000131688
10690.5 -0.000131905
10698.8 -0.000132122
10707.2 -0.000132339
10715.5 -0.000132555
10723.8 -0.000132772
10732.1 -0.000132988
10740.4 -0.000133205
10748.8 -0.000133421
10757.1 -0.000133637
10765.4 -0.000133853
10773.7 -0.000134068
10782 -0.000134284
10790.3 -0.000134499
10798.7 -0.000134714
10807 -0.000134929
10815.3 -0.000135143
10823.6 -0.000135357
10831.9 -0.000135571
10840.3 -0.000135784
10848.6 -0.000135997
10856.9 -0.00013621
10865.2 -0.000136422
10873.5 -0.000136634
10881.9 -0.000136845
10890.2 -0.000137056
10898.5 -0.000137267
10906.8 -0.000137476
10915.1 -0.000137685
10923.5 -0.000137894
10931.8 -0.000138102
10940.1 -0.000138309
10948.4 -0.000138515
10956.7 -0.00013872
10965.1 -0.000138924
10973.4 -0.000139127
10981.7 -0.000139329
10990 -0.000139529
10998.3 -0.000139728
11006.7 -0.000139925
11015 -0.00014012
11023.3 -0.000140313
11031.6 -0.000140504
11039.9 -0.000140691
11048.3 -0.000140875
11056.6 -0.000141055
11064.9 -0.000141229
11073.2 -0.000141398
11081.5 -0.000141557
11089.9 -0.000141705
11098.2 -0.000141837
11106.5 -0.000141943
11114.8 -0.000142001
11123.1 -0.000141911
11131.4 -0.000141057
11139.8 -0.00014049
11148.1 -0.000140211
11156.4 -0.000140849
11164.7 -0.000141321
11173 -0.00014176
11181.4 -0.000142303
11189.7 -0.000142765
11198 -0.000143133
11206.3 -0.000143191
11214.6 -0.000143323
11223 -0.000143509
11231.3 -0.00014387
11239.6 -0.000144185
11247.9 -0.000144457
11256.2 -0.000144555
11264.6 -0.000144712
11272.9 -0.000144947
11281.2 -0.000145568
11289.5 -0.000146083
11297.8 -0.000146484
11306.2 -0.000146477
11314.5 -0.000146507
11322.8 -0.000146552
11331.1 -0.000146466
11339.4 -0.000146438
11347.8 -0.000146503
11356.1 -0.00014697
11364.4 -0.000147452
11372.7 -0.000147897
11381 -0.000148428
11389.4 -0.000148925
11397.7 -0.000149317
11406 -0.000149246
11414.3 -0.00014903
11422.6 -0.000148927
11430.9 -0.000149034
11439.3 -0.000149282
11447.6 -0.000149497
11455.9 -0.000149651
11464.2 -0.000149733
11472.5 -0.000149892
11480.9 -0.000150232
11489.2 -0.000151289
11497.5 -0.000152055
11505.8 -0.000152541
11514.1 -0.000151886
11522.5 -0.000151447
11530.8 -0.000151209
11539.1 -0.00015156
11547.4 -0.00015196
11555.7 -0.000152324
11564.1 -0.000152762
11572.4 -0.000153208
11580.7 -0.000153609
11589 -0.000153949
11597.3 -0.000154229
11605.7 -0.000154476
11614 -0.000154623
11622.3 -0.000154372
11630.6 -0.000154268
11638.9 -0.000154268
11647.3 -0.00015461
11655.6 -0.000154952
11663.9 -0.000155305
11672.2 -0.000155948
11680.5 -0.000156612
11688.9 -0.000157133
11697.2 -0.000157246
11705.5 -0.000156959
11713.8 -0.000156799
11722.1 -0.000156701
11730.4 -0.000156656
11738.8 -0.000156656
11747.1 -0.000156719
11755.4 -0.000157066
11763.7 -0.000157435
11772 -0.000157781
11780.4 -0.000158235
11788.7 -0.000158746
11797 -0.000159146
11805.3 -0.000159355
11813.6 -0.000158837
11822 -0.000158545
11830.3 -0.000158406
11838.6 -0.000158759
11846.9 -0.000159169
11855.2 -0.00015954
11863.6 -0.000159991
11871.9 -0.000160514
11880.2 -0.000160941
11888.5 -0.000161241
11896.8 -0.000161045
11905.2 -0.000160938
11913.5 -0.000160891
11921.8 -0.000160917
11930.1 -0.000160985
11938.4 -0.000161085
11946.8 -0.000161271
11955.1 -0.000161725
11963.4 -0.000162097
11971.7 -0.000162442
11980 -0.000162845
11988.4 -0.000163206
11996.7 -0.000163476
12005 -0.000163439
12013.3 -0.000162963
12021.6 -0.000162673
12030 -0.000162519
12038.3 -0.0001628
12046.6 -0.000163099
12054.9 -0.000163376
12063.2 -0.000163744
12071.5 -0.000164226
12079.9 -0.000164609
12088.2 -0.00016489
12096.5 -0.000164765
12104.8 -0.000164656
12113.1 -0.000164605
12121.5 -0.000164616
12129.8 -0.000164693
12138.1 -0.000164783
12146.4 -0.000164915
12154.7 -0.000165302
12163.1 -0.000165669
12171.4 -0.000165962
12179.7 -0.000166127
12188 -0.000166064
12196.3 -0.000166051
12204.7 -0.000166042
12213 -0.000165938
12221.3 -0.00016584
12229.6 -0.000165798
12237.9 -0.000165839
12246.3 -0.000166178
12254.6 -0.000166446
12262.9 -0.000166688
12271.2 -0.000166981
12279.5 -0.000167284
12287.9 -0.000167505
12296.2 -0.000167609
12304.5 -0.00016717
12312.8 -0.000166797
12321.1 -0.000166541
12329.5 -0.000166451
12337.8 -0.000166689
12346.1 -0.000166867
12354.4 -0.000167058
12362.7 -0.000167513
12371 -0.000168029
12379.4 -0.000168393
12387.7 -0.000168568
12396 -0.000167975
12404.3 -0.000167486
12412.6 -0.000167148
12421 -0.000167012
12429.3 -0.000167377
12437.6 -0.000167601
12445.9 -0.000167779
12454.2 -0.000167941
12462.6 -0.000168082
12470.9 -0.000168179
12479.2 -0.000168217
12487.5 -0.000167997
12495.8 -0.00016777
12504.2 -0.000167598
12512.5 -0.00016747
12520.8 -0.000167442
12529.1 -0.000167421
12537.4 -0.000167425
12545.8 -0.000167543
12554.1 -0.000167939
12562.4 -0.000168186
12570.7 -0.000168325
12579 -0.000168153
12587.4 -0.000167777
