W T
12000 -0.000179779
12005 -0.000179123
12010.1 -0.000178444
12015.1 -0.000177982
12020.2 -0.000177645
12025.2 -0.000177417
12030.3 -0.000177323
12035.3 -0.000177572
12040.4 -0.000177745
12045.4 -0.000177852
12050.5 -0.000177936
12055.5 -0.000178019
12060.6 -0.000178139
12065.6 -0.000178402
12070.7 -0.000178533
12075.7 -0.000178583
12080.7 -0.000178559
12085.8 -0.000178448
12090.8 -0.000178159
12095.9 -0.000177647
12100.9 -0.000177315
12106 -0.000177048
12111 -0.000176825
12116.1 -0.000176642
12121.1 -0.000176519
12126.2 -0.000176423
12131.2 -0.00017633
12136.3 -0.000176253
12141.3 -0.000176203
12146.4 -0.000176201
12151.4 -0.000176388
12156.5 -0.000176517
12161.5 -0.000176552
12166.5 -0.000176525
12171.6 -0.000176436
12176.6 -0.000176268
12181.7 -0.000175901
12186.7 -0.000175595
12191.8 -0.000175332
12196.8 -0.000175086
12201.9 -0.000174844
12206.9 -0.000174587
12212 -0.000174252
12217 -0.000173992
12222.1 -0.000173783
12227.1 -0.000173621
12232.2 -0.00017351
12237.2 -0.000173485
12242.2 -0.000173658
12247.3 -0.000173714
12252.3 -0.00017372
12257.4 -0.000173697
12262.4 -0.000173659
12267.5 -0.000173627
12272.5 -0.000173648
12277.6 -0.000173572
12282.6 -0.000173428
12287.7 -0.000173215
12292.7 -0.000172913
12297.8 -0.000172442
12302.8 -0.00017163
12307.9 -0.000171105
12312.9 -0.000170707
12318 -0.000170404
12323 -0.000170194
12328 -0.000170116
12333.1 -0.000170265
12338.1 -0.000170288
12343.2 -0.000170279
12348.2 -0.000170268
12353.3 -0.000170279
12358.3 -0.00017037
12363.4 -0.000170672
12368.4 -0.000170737
12373.5 -0.000170669
12378.5 -0.000170483
12383.6 -0.000170158
12388.6 -0.000169606
12393.7 -0.000168567
12398.7 -0.000167907
12403.7 -0.000167423
12408.8 -0.000167061
12413.8 -0.000166815
12418.9 -0.000166725
12423.9 -0.000166968
12429 -0.000167022
12434 -0.000166987
12439.1 -0.000166903
12444.1 -0.000166786
12449.2 -0.000166646
12454.2 -0.000166498
12459.3 -0.000166313
12464.3 -0.000166093
12469.4 -0.000165838
12474.4 -0.000165541
12479.5 -0.000165183
12484.5 -0.000164647
12489.5 -0.00016419
12494.6 -0.000163815
12499.6 -0.000163486
12504.7 -0.000163194
12509.7 -0.000162937
12514.8 -0.000162742
12519.8 -0.00016256
12524.9 -0.000162372
12529.9 -0.000162195
12535 -0.00016204
12540 -0.000161925
12545.1 -0.00016192
12550.1 -0.00016202
12555.2 -0.000161915
12560.2 -0.000161714
12565.2 -0.000161431
12570.3 -0.000161058
12575.3 -0.000160544
12580.4 -0.000159783
12585.4 -0.000159241
12590.5 -0.000158782
12595.5 -0.000158373
12600.6 -0.000158001
12605.6 -0.00015766
12610.7 -0.000157351
12615.7 -0.000157063
12620.8 -0.000156798
12625.8 -0.000156561
12630.9 -0.00015636
12635.9 -0.000156215
12641 -0.000156235
12646 -0.00015622
12651 -0.000156073
12656.1 -0.000155862
12661.1 -0.000155602
12666.2 -0.000155299
12671.2 -0.000154946
12676.3 -0.000154535
12681.3 -0.000154134
12686.4 -0.000153718
12691.4 -0.000153276
12696.5 -0.000152799
12701.5 -0.000152262
12706.6 -0.000151563
12711.6 -0.000151008
12716.7 -0.000150542
12721.7 -0.000150133
12726.7 -0.000149772
12731.8 -0.000149467
12736.8 -0.000149268
12741.9 -0.000149102
12746.9 -0.000148816
12752 -0.000148489
12757 -0.000148133
12762.1 -0.000147752
12767.1 -0.000147347
12772.2 -0.000146908
12777.2 -0.000146477
12782.3 -0.000146041
12787.3 -0.000145593
12792.4 -0.00014513
12797.4 -0.00014464
12802.5 -0.000144067
12807.5 -0.000143544
12812.5 -0.000143108
12817.6 -0.000142719
12822.6 -0.000142375
12827.7 -0.000142085
12832.7 -0.000141887
12837.8 -0.000141856
12842.8 -0.000141568
12847.9 -0.000141167
12852.9 -0.000140683
12858 -0.00014012
12863 -0.000139462
12868.1 -0.000138595
12873.1 -0.000137803
12878.2 -0.000137203
12883.2 -0.000136677
12888.2 -0.000136203
12893.3 -0.000135778
12898.3 -0.000135409
12903.4 -0.000135129
12908.4 -0.000134763
12913.5 -0.000134373
12918.5 -0.000133976
12923.6 -0.000133582
12928.6 -0.000133203
12933.7 -0.000132869
12938.7 -0.000132537
12943.8 -0.000132078
12948.8 -0.000131567
12953.9 -0.000131016
12958.9 -0.000130426
12964 -0.000129793
12969 -0.000129089
12974 -0.000128422
12979.1 -0.000127763
12984.1 -0.000127095
12989.2 -0.000126408
12994.2 -0.000125689
12999.3 -0.000124907
13004.3 -0.000124039
13009.4 -0.000123419
13014.4 -0.000122892
13019.5 -0.000122432
13024.5 -0.000122036
13029.6 -0.000121717
13034.6 -0.000121535
13039.7 -0.00012135
13044.7 -0.000120901
13049.7 -0.00012037
13054.8 -0.000119784
13059.8 -0.000119153
13064.9 -0.000118478
13069.9 -0.000117738
13075 -0.000117029
13080 -0.000116331
13085.1 -0.000115629
13090.1 -0.000114917
13095.2 -0.000114193
13100.2 -0.000113455
13105.3 -0.000112699
13110.3 -0.000111943
13115.4 -0.000111176
13120.4 -0.000110395
13125.5 -0.000109595
13130.5 -0.000108766
13135.5 -0.000107889
13140.6 -0.000106967
