W E1 E2
12000 -0.000269121 0.000667379
12005 -0.000270797 0.000667876
12010 -0.000272478 0.000668373
12015.1 -0.000274165 0.000668868
12020.1 -0.000275858 0.000669361
12025.1 -0.000277557 0.000669854
12030.1 -0.000279261 0.000670344
12035.2 -0.000280971 0.000670834
12040.2 -0.000282688 0.000671322
12045.2 -0.00028441 0.000671809
12050.2 -0.000286138 0.000672294
12055.2 -0.000287872 0.000672777
12060.3 -0.000289612 0.00067326
12065.3 -0.000291358 0.00067374
12070.3 -0.00029311 0.00067422
12075.3 -0.000294868 0.000674697
12080.3 -0.000296633 0.000675173
12085.4 -0.000298403 0.000675648
12090.4 -0.00030018 0.000676121
12095.4 -0.000301962 0.000676593
12100.4 -0.000303751 0.000677063
12105.5 -0.000305546 0.000677531
12110.5 -0.000307347 0.000677997
12115.5 -0.000309155 0.000678462
12120.5 -0.000310969 0.000678926
12125.5 -0.000312789 0.000679387
12130.6 -0.000314615 0.000679847
12135.6 -0.000316448 0.000680306
12140.6 -0.000318287 0.000680762
12145.6 -0.000320133 0.000681217
12150.6 -0.000321985 0.00068167
12155.7 -0.000323843 0.000682121
12160.7 -0.000325708 0.00068257
12165.7 -0.00032758 0.000683018
12170.7 -0.000329458 0.000683464
12175.8 -0.000331343 0.000683908
12180.8 -0.000333234 0.00068435
12185.8 -0.000335132 0.00068479
12190.8 -0.000337036 0.000685228
12195.8 -0.000338947 0.000685664
12200.9 -0.000340865 0.000686098
12205.9 -0.00034279 0.000686531
12210.9 -0.000344721 0.000686961
12215.9 -0.00034666 0.00068739
12220.9 -0.000348605 0.000687816
12226 -0.000350557 0.00068824
12231 -0.000352515 0.000688663
12236 -0.000354481 0.000689083
12241 -0.000356454 0.000689501
12246.1 -0.000358433 0.000689917
12251.1 -0.00036042 0.000690331
12256.1 -0.000362414 0.000690742
12261.1 -0.000364414 0.000691152
12266.1 -0.000366422 0.000691559
12271.2 -0.000368437 0.000691964
12276.2 -0.000370459 0.000692367
12281.2 -0.000372488 0.000692767
12286.2 -0.000374525 0.000693166
12291.2 -0.000376569 0.000693562
12296.3 -0.00037862 0.000693955
12301.3 -0.000380678 0.000694346
12306.3 -0.000382744 0.000694735
