W N1 N2
10000 4.50147e-05 0.000126738
10008.3 4.47887e-05 0.00012693
10016.6 4.45617e-05 0.000127123
10025 4.43337e-05 0.000127315
10033.3 4.41047e-05 0.000127508
10041.6 4.38747e-05 0.000127701
10049.9 4.36438e-05 0.000127894
10058.2 4.34118e-05 0.000128087
10066.6 4.31787e-05 0.00012828
10074.9 4.29447e-05 0.000128473
10083.2 4.27096e-05 0.000128667
10091.5 4.24736e-05 0.00012886
10099.8 4.22364e-05 0.000129054
10108.2 4.19983e-05 0.000129248
10116.5 4.17591e-05 0.000129442
10124.8 4.15188e-05 0.000129636
10133.1 4.12775e-05 0.00012983
10141.4 4.10351e-05 0.000130025
10149.8 4.07917e-05 0.000130219
10158.1 4.05472e-05 0.000130414
10166.4 4.03016e-05 0.000130609
10174.7 4.0055e-05 0.000130804
10183 3.98072e-05 0.000130998
10191.3 3.95584e-05 0.000131194
10199.7 3.93085e-05 0.000131389
10208 3.90575e-05 0.000131584
10216.3 3.88053e-05 0.000131779
10224.6 3.85521e-05 0.000131975
10232.9 3.82978e-05 0.000132171
10241.3 3.80423e-05 0.000132366
10249.6 3.77857e-05 0.000132562
10257.9 3.75279e-05 0.000132758
10266.2 3.72691e-05 0.000132954
10274.5 3.70091e-05 0.00013315
10282.9 3.67479e-05 0.000133347
10291.2 3.64856e-05 0.000133543
10299.5 3.62221e-05 0.000133739
10307.8 3.59575e-05 0.000133936
10316.1 3.56916e-05 0.000134132
10324.5 3.54247e-05 0.000134329
10332.8 3.51565e-05 0.000134526
10341.1 3.48871e-05 0.000134723
10349.4 3.46166e-05 0.000134919
10357.7 3.43448e-05 0.000135116
10366.1 3.40719e-05 0.000135314
10374.4 3.37977e-05 0.000135511
10382.7 3.35223e-05 0.000135708
10391 3.32457e-05 0.000135905
10399.3 3.29679e-05 0.000136102
10407.7 3.26888e-05 0.0001363
10416 3.24085e-05 0.000136497
10424.3 3.21269e-05 0.000136695
10432.6 3.18441e-05 0.000136892
10440.9 3.15601e-05 0.00013709
10449.3 3.12747e-05 0.000137288
10457.6 3.09881e-05 0.000137485
10465.9 3.07002e-05 0.000137683
10474.2 3.04111e-05 0.000137881
10482.5 3.01206e-05 0.000138079
10490.8 2.98289e-05 0.000138276
10499.2 2.95358e-05 0.000138474
10507.5 2.92415e-05 0.000138672
10515.8 2.89458e-05 0.00013887
10524.1 2.86488e-05 0.000139068
10532.4 2.83504e-05 0.000139266
10540.8 2.80508e-05 0.000139464
10549.1 2.77498e-05 0.000139662
10557.4 2.74474e-05 0.00013986
10565.7 2.71437e-05 0.000140058
10574 2.68386e-05 0.000140256
10582.4 2.65322e-05 0.000140454
10590.7 2.62244e-05 0.000140652
10599 2.59152e-05 0.00014085
10607.3 2.56046e-05 0.000141048
10615.6 2.52926e-05 0.000141246
10624 2.49792e-05 0.000141444
10632.3 2.46644e-05 0.000141642
10640.6 2.43482e-05 0.000141839
10648.9 2.40306e-05 0.000142037
10657.2 2.37115e-05 0.000142235
10665.6 2.3391e-05 0.000142433
10673.9 2.30691e-05 0.00014263
10682.2 2.27457e-05 0.000142828
10690.5 2.24208e-05 0.000143025
10698.8 2.20945e-05 0.000143223
10707.2 2.17667e-05 0.00014342
10715.5 2.14374e-05 0.000143617
10723.8 2.11066e-05 0.000143815
10732.1 2.07744e-05 0.000144012
10740.4 2.04406e-05 0.000144209
10748.8 2.01053e-05 0.000144405
10757.1 1.97685e-05 0.000144602
10765.4 1.94302e-05 0.000144799
10773.7 1.90903e-05 0.000144995
10782 1.87489e-05 0.000145191
10790.3 1.8406e-05 0.000145387
10798.7 1.80614e-05 0.000145583
10807 1.77154e-05 0.000145779
10815.3 1.73677e-05 0.000145975
10823.6 1.70185e-05 0.00014617
10831.9 1.66676e-05 0.000146365
10840.3 1.63152e-05 0.00014656
10848.6 1.59612e-05 0.000146755
10856.9 1.56055e-05 0.000146949
10865.2 1.52483e-05 0.000147143
10873.5 1.48894e-05 0.000147337
10881.9 1.45288e-05 0.00014753
10890.2 1.41666e-05 0.000147723
10898.5 1.38028e-05 0.000147916
10906.8 1.34373e-05 0.000148108
10915.1 1.30701e-05 0.0001483
10923.5 1.27012e-05 0.000148491
10931.8 1.23307e-05 0.000148682
10940.1 1.19584e-05 0.000148872
10948.4 1.15845e-05 0.000149062
10956.7 1.12088e-05 0.000149251
10965.1 1.08313e-05 0.000149439
10973.4 1.04522e-05 0.000149627
10981.7 1.00713e-05 0.000149813
10990 9.68863e-06 0.000149999
10998.3 9.3042e-06 0.000150184
11006.7 8.918e-06 0.000150367
11015 8.53e-06 0.000150549
11023.3 8.14019e-06 0.00015073
11031.6 7.74857e-06 0.000150908
11039.9 7.35512e-06 0.000151085
11048.3 6.95982e-06 0.000151259
11056.6 6.56266e-06 0.00015143
11064.9 6.1636e-06 0.000151597
11073.2 5.76261e-06 0.00015176
11081.5 5.35966e-06 0.000151917
11089.9 4.95469e-06 0.000152065
11098.2 4.54757e-06 0.000152202
11106.5 4.13813e-06 0.00015232
11114.8 3.72587e-06 0.000152404
11123.1 3.30846e-06 0.000152382
11131.4 3.22689e-06 0.000152328
11139.8 3.17943e-06 0.00015252
11148.1 3.14134e-06 0.000152924
11156.4 2.74119e-06 0.000153439
11164.7 2.31104e-06 0.0001538
11173 1.87691e-06 0.000154137
11181.4 1.37512e-06 0.00015445
11189.7 8.65319e-07 0.000154698
11198 3.50971e-07 0.000154876
11206.3 -3.91603e-08 0.000155025
11214.6 -4.23404e-07 0.000155238
11223 -8.08765e-07 0.000155491
11231.3 -1.26785e-06 0.00015576
11239.6 -1.73508e-06 0.000155987
11247.9 -2.20505e-06 0.000156182
11256.2 -2.60499e-06 0.000156364
11264.6 -2.99877e-06 0.000156601
11272.9 -3.3943e-06 0.000156897
11281.2 -3.94649e-06 0.00015723
11289.5 -4.52741e-06 0.000157445
11297.8 -5.11026e-06 0.000157576
11306.2 -5.55435e-06 0.000157631
11314.5 -5.96613e-06 0.000157768
11322.8 -6.37995e-06 0.000157917
11331.1 -6.73738e-06 0.000158063
11339.4 -7.07615e-06 0.000158286
11347.8 -7.41807e-06 0.000158579
11356.1 -7.88694e-06 0.000158969
11364.4 -8.42631e-06 0.000159261
11372.7 -8.96812e-06 0.000159524
11381 -9.55182e-06 0.000159787
11389.4 -1.0169e-05 0.00015997
11397.7 -1.07855e-05 0.000160077
11406 -1.1281e-05 0.000160035
11414.3 -1.16285e-05 0.000160137
11422.6 -1.19818e-05 0.000160322
11430.9 -1.23776e-05 0.000160603
11439.3 -1.28596e-05 0.000160847
11447.6 -1.33431e-05 0.00016107
11455.9 -1.38174e-05 0.000161264
11464.2 -1.42401e-05 0.000161496
11472.5 -1.46687e-05 0.000161785
11480.9 -1.51079e-05 0.000162207
11489.2 -1.58995e-05 0.000162582
11497.5 -1.66829e-05 0.000162738
11505.8 -1.7452e-05 0.00016269
11514.1 -1.77857e-05 0.000162511
11522.5 -1.80556e-05 0.000162632
11530.8 -1.83396e-05 0.000162898
11539.1 -1.88077e-05 0.000163317
11547.4 -1.93666e-05 0.000163613
11555.7 -1.99266e-05 0.000163883
11564.1 -2.05175e-05 0.000164163
11572.4 -2.11422e-05 0.00016439
11580.7 -2.17667e-05 0.000164585
11589 -2.2385e-05 0.000164744
11597.3 -2.29851e-05 0.000164891
11605.7 -2.35851e-05 0.000165015
11614 -2.41788e-05 0.000165067
11622.3 -2.45859e-05 0.000165145
11630.6 -2.50058e-05 0.000165334
11638.9 -2.54374e-05 0.000165598
11647.3 -2.59897e-05 0.00016593
11655.6 -2.65764e-05 0.0001662
11663.9 -2.71677e-05 0.000166478
11672.2 -2.78626e-05 0.000166813
11680.5 -2.86424e-05 0.000166997
11688.9 -2.94104e-05 0.000167077
11697.2 -3.00882e-05 0.000166971
11705.5 -3.05339e-05 0.000166993
11713.8 -3.09962e-05 0.000167104
11722.1 -3.14681e-05 0.000167259
11730.4 -3.19509e-05 0.000167447
11738.8 -3.24419e-05 0.000167667
11747.1 -3.29433e-05 0.000167933
11755.4 -3.35447e-05 0.000168262
11763.7 -3.41946e-05 0.000168514
11772 -3.48456e-05 0.000168749
11780.4 -3.5536e-05 0.000169009
11788.7 -3.62953e-05 0.000169177
11797 -3.70431e-05 0.000169265
11805.3 -3.77674e-05 0.00016922
11813.6 -3.81681e-05 0.000169194
11822 -3.85882e-05 0.000169361
11830.3 -3.90325e-05 0.000169637
11838.6 -3.96469e-05 0.000170033
11846.9 -4.03431e-05 0.000170302
11855.2 -4.10379e-05 0.000170544
11863.6 -4.17634e-05 0.000170805
11871.9 -4.25584e-05 0.000170983
11880.2 -4.33421e-05 0.000171092
11888.5 -4.41088e-05 0.000171112
11896.8 -4.46755e-05 0.000171096
11905.2 -4.52337e-05 0.000171209
11913.5 -4.58052e-05 0.000171364
11921.8 -4.6398e-05 0.000171554
11930.1 -4.70098e-05 0.000171755
11938.4 -4.76307e-05 0.000171978
11946.8 -4.82707e-05 0.00017226
11955.1 -4.90463e-05 0.000172509
11963.4 -4.98119e-05 0.000172699
11971.7 -5.05767e-05 0.000172869
11980 -5.13755e-05 0.000173028
11988.4 -5.21845e-05 0.000173116
11996.7 -5.29798e-05 0.000173142
12005 -5.36963e-05 0.000173017
12013.3 -5.41672e-05 0.000173051
12021.6 -5.4678e-05 0.000173214
12030 -5.52196e-05 0.000173472
12038.3 -5.59289e-05 0.000173814
12046.6 -5.66882e-05 0.000174047
12054.9 -5.74476e-05 0.000174266
12063.2 -5.82418e-05 0.000174515
12071.5 -5.91199e-05 0.000174678
12079.9 -5.99817e-05 0.000174771
12088.2 -6.0825e-05 0.000174792
12096.5 -6.151e-05 0.000174757
12104.8 -6.21658e-05 0.000174848
12113.1 -6.28384e-05 0.000174979
12121.5 -6.35316e-05 0.000175147
12129.8 -6.42579e-05 0.000175316
12138.1 -6.49919e-05 0.000175495
12146.4 -6.57401e-05 0.000175703
12154.7 -6.65988e-05 0.00017594
12163.1 -6.74869e-05 0.000176067
12171.4 -6.83616e-05 0.000176141
12179.7 -6.92055e-05 0.000176139
12188 -6.9938e-05 0.000176181
12196.3 -7.06872e-05 0.000176257
12204.7 -7.14417e-05 0.000176337
12213 -7.21598e-05 0.000176409
12221.3 -7.28664e-05 0.000176546
12229.6 -7.35919e-05 0.000176721
12237.9 -7.43442e-05 0.000176955
12246.3 -7.52402e-05 0.000177178
12254.6 -7.61294e-05 0.000177326
12262.9 -7.70163e-05 0.000177455
12271.2 -7.7931e-05 0.000177586
12279.5 -7.88742e-05 0.000177642
12287.9 -7.97985e-05 0.000177643
12296.2 -8.06926e-05 0.000177563
12304.5 -8.1351e-05 0.000177443
12312.8 -8.19909e-05 0.000177531
12321.1 -8.26688e-05 0.0001777
12329.5 -8.34012e-05 0.000177977
12337.8 -8.43036e-05 0.000178199
12346.1 -8.5192e-05 0.000178379
12354.4 -8.60891e-05 0.000178569
12362.7 -8.71024e-05 0.000178809
12371 -8.81914e-05 0.00017886
12379.4 -8.92357e-05 0.000178806
12387.7 -9.02213e-05 0.000178625
12396 -9.08559e-05 0.0001784
12404.3 -9.14774e-05 0.00017846
12412.6 -9.21485e-05 0.000178622
12421 -9.28857e-05 0.000178923
12429.3 -9.38804e-05 0.000179135
12437.6 -9.48286e-05 0.000179246
12445.9 -9.57591e-05 0.000179326
12454.2 -9.66819e-05 0.000179387
12462.6 -9.75956e-05 0.000179414
12470.9 -9.84861e-05 0.000179412
12479.2 -9.93443e-05 0.00017937
12487.5 -0.000100069 0.000179293
12495.8 -0.00010075 0.000179328
12504.2 -0.000101424 0.0001794
12512.5 -0.00010208 0.000179502
12520.8 -0.000102738 0.000179615
12529.1 -0.00010334 0.000179719
12537.4 -0.000103866 0.000179839
12545.8 -0.000104311 0.000180027
12554.1 -0.000104725 0.000180084
12562.4 -0.000104755 0.000180036
12570.7 -0.000104065 0.000179909
12579 -0.000100587 0.00018096
12587.4 -9.96048e-05 0.00018649
12595.7 -0.000101212 0.000192102
12604 -0.000105212 0.000197772
12612.3 -0.000113755 0.000200405
12620.6 -0.000119114 0.000198835
12629 -0.000122949 0.000197276
12637.3 -0.000125979 0.000195753
12645.6 -0.000128494 0.000194503
12653.9 -0.000130917 0.000193268
12662.2 -0.000133139 0.000191977
12670.5 -0.000135214 0.000190642
12678.9 -0.000137133 0.000188977
12687.2 -0.000138511 0.000187207
12695.5 -0.00013938 0.000185409
12703.8 -0.000139286 0.000183549
12712.1 -0.000138422 0.000183992
12720.5 -0.00013897 0.000184839
12728.8 -0.000140093 0.000185736
12737.1 -0.000141875 0.000186712
12745.4 -0.000144015 0.000186828
12753.7 -0.000145962 0.000186883
12762.1 -0.000147954 0.000186912
12770.4 -0.000150126 0.000186892
12778.7 -0.000152309 0.000186629
12787 -0.000154527 0.000186359
12795.3 -0.000156935 0.000186076
12803.7 -0.000160094 0.000185479
12812 -0.000162591 0.000183601
12820.3 -0.00016443 0.000181766
12828.6 -0.000165795 0.00017997
12836.9 -0.000166335 0.000178575
12845.3 -0.00016742 0.000178118
12853.6 -0.000168869 0.000177575
12861.9 -0.000170553 0.00017696
12870.2 -0.000172662 0.000175986
12878.5 -0.000174257 0.00017447
12886.9 -0.000175563 0.00017302
12895.2 -0.000176655 0.000171612
12903.5 -0.000177419 0.000170391
12911.8 -0.000178351 0.000169489
12920.1 -0.000179346 0.000168576
12928.5 -0.000180344 0.000167667
12936.8 -0.000181364 0.000166782
12945.1 -0.000182363 0.000165795
12953.4 -0.00018323 0.000164762
12961.7 -0.000183879 0.000163693
12970 -0.000183801 0.000162894
12978.4 -0.000184254 0.00016315
12986.7 -0.000185218 0.000163403
12995 -0.000186545 0.000163635
13003.3 -0.000188426 0.000163641
13011.6 -0.000190059 0.000163084
13020 -0.000191574 0.000162598
13028.3 -0.000193105 0.000162171
13036.6 -0.000194799 0.000161848
13044.9 -0.000196688 0.000161272
13053.2 -0.000198579 0.000160614
13061.6 -0.000200594 0.000159913
13069.9 -0.00020317 0.00015913
13078.2 -0.000205447 0.000156905
13086.5 -0.000206929 0.000154673
13094.8 -0.000207868 0.000152427
13103.2 -0.000207925 0.000150159
13111.5 -0.00020751 0.000149811
13119.8 -0.00020819 0.000149643
13128.1 -0.000209332 0.000149459
13136.4 -0.000211054 0.000149243
13144.8 -0.000213268 0.000147689
13153.1 -0.000214458 0.000145837
13161.4 -0.000215162 0.000144015
13169.7 -0.000215255 0.000142224
13178 -0.000214429 0.000141718
13186.4 -0.000214721 0.000141907
13194.7 -0.000215441 0.00014208
13203 -0.000216461 0.000142248
13211.3 -0.000217853 0.000142299
13219.6 -0.00021927 0.000142114
13228 -0.000220727 0.000141882
13236.3 -0.000222236 0.0001416
13244.6 -0.000223652 0.000141295
13252.9 -0.000225253 0.00014131
13261.2 -0.000227211 0.000141373
13269.6 -0.000229643 0.000141467
13277.9 -0.00023347 0.000141541
13286.2 -0.000237004 0.000138507
13294.5 -0.00023898 0.000135421
13302.8 -0.000240005 0.000132311
13311.1 -0.000239701 0.00012918
13319.5 -0.000237987 0.000128926
13327.8 -0.000238321 0.000129478
13336.1 -0.000239442 0.000130016
13344.4 -0.00024126 0.000130537
13352.7 -0.000244088 0.000130291
13361.1 -0.000246388 0.00012935
13369.4 -0.000248634 0.000128408
13377.7 -0.0002511 0.000127464
13386 -0.000254707 0.000125971
13394.3 -0.000257156 0.000122517
13402.7 -0.000258452 0.000119041
13411 -0.000258748 0.000115548
13419.3 -0.000257231 0.000112032
13427.6 -0.000254775 0.000112832
13435.9 -0.000254902 0.000114057
13444.3 -0.000256144 0.000115271
13452.6 -0.000258586 0.000116466
13460.9 -0.00026291 0.000115687
13469.2 -0.000265507 0.000113476
13477.5 -0.000267437 0.000111271
13485.9 -0.000268934 0.000109072
13494.2 -0.000269909 0.000107023
13502.5 -0.000270925 0.000105349
13510.8 -0.000271882 0.000103629
13519.1 -0.000272636 0.000101878
13527.5 -0.000272892 0.000100094
13535.8 -0.000272686 9.97229e-05
13544.1 -0.000273527 9.96324e-05
13552.4 -0.000274841 9.95191e-05
13560.7 -0.000276642 9.9377e-05
13569.1 -0.000279343 9.85462e-05
13577.4 -0.000281318 9.68504e-05
13585.7 -0.000282933 9.51523e-05
13594 -0.000284306 9.34471e-05
13602.3 -0.000285318 9.174e-05
13610.6 -0.000286282 9.06529e-05
13619 -0.000287484 8.95352e-05
13627.3 -0.000288742 8.83901e-05
13635.6 -0.000290009 8.72171e-05
13643.9 -0.000291233 8.60548e-05
13652.2 -0.000292478 8.49144e-05
13660.6 -0.000293695 8.37533e-05
13668.9 -0.000294814 8.25682e-05
13677.2 -0.00029548 8.14155e-05
13685.5 -0.000296387 8.12725e-05
13693.8 -0.000297832 8.11157e-05
13702.2 -0.000299611 8.09422e-05
13710.5 -0.000301759 8.07565e-05
13718.8 -0.000304513 8.00949e-05
13727.1 -0.00030696 7.89841e-05
13735.4 -0.000309359 7.78255e-05
13743.8 -0.000311844 7.66222e-05
13752.1 -0.000314809 7.53315e-05
13760.4 -0.000317486 7.27479e-05
13768.7 -0.000319435 7.01466e-05
13777 -0.000320875 6.75176e-05
13785.4 -0.000321611 6.48579e-05
13793.7 -0.000320806 6.35312e-05
13802 -0.000321525 6.36858e-05
13810.3 -0.000322996 6.37954e-05
13818.6 -0.000324962 6.38573e-05
13827 -0.000327425 6.38632e-05
13835.3 -0.000330247 6.3372e-05
13843.6 -0.000333083 6.2807e-05
13851.9 -0.000336139 6.22083e-05
13860.2 -0.000339558 6.15752e-05
13868.6 -0.000343931 6.04572e-05
13876.9 -0.000347725 5.81464e-05
13885.2 -0.000351124 5.57786e-05
13893.5 -0.000354354 5.33574e-05
13901.8 -0.000357536 5.08853e-05
13910.1 -0.000360792 4.80289e-05
13918.5 -0.000363588 4.49242e-05
13926.8 -0.00036605 4.1751e-05
13935.1 -0.000368098 3.85085e-05
13943.4 -0.000369093 3.51966e-05
13951.7 -0.000370156 3.42124e-05
13960.1 -0.000372362 3.31736e-05
13968.4 -0.000375132 3.20693e-05
13976.7 -0.000378475 3.08964e-05
13985 -0.000382983 2.90579e-05
13993.3 -0.000386759 2.58768e-05
14001.7 -0.000390041 2.26134e-05
14010 -0.000392995 1.9266e-05
14018.3 -0.000395518 1.58301e-05
14026.6 -0.000397308 1.32356e-05
14034.9 -0.000399963 1.11434e-05
14043.3 -0.000402992 8.95774e-06
14051.6 -0.0004063 6.67429e-06
14059.9 -0.000409949 4.29044e-06
14068.2 -0.000413853 1.27842e-06
