W N1 N2
12000 -7.6502e-05 0.000196029
12005 -7.6951e-05 0.000195939
12010.1 -7.72601e-05 0.000195986
12015.1 -7.7597e-05 0.000196106
12020.2 -7.79507e-05 0.000196267
12025.2 -7.83195e-05 0.000196465
12030.3 -7.87067e-05 0.00019671
12035.3 -7.91934e-05 0.000197015
12040.4 -7.97309e-05 0.000197233
12045.4 -8.02622e-05 0.000197428
12050.5 -8.07926e-05 0.000197616
12055.5 -8.1325e-05 0.000197803
12060.6 -8.18645e-05 0.000198003
12065.6 -8.24729e-05 0.000198201
12070.7 -8.30833e-05 0.000198336
12075.7 -8.36852e-05 0.000198444
12080.7 -8.42794e-05 0.000198526
12085.8 -8.48638e-05 0.000198578
12090.8 -8.5426e-05 0.00019857
12095.9 -8.58517e-05 0.000198599
12100.9 -8.63e-05 0.000198692
12106 -8.67587e-05 0.000198807
12111 -8.72254e-05 0.000198938
12116.1 -8.76993e-05 0.000199081
12121.1 -8.81863e-05 0.000199243
12126.2 -8.8693e-05 0.000199399
12131.2 -8.92021e-05 0.000199556
12136.3 -8.97155e-05 0.000199719
12141.3 -9.02347e-05 0.000199891
12146.4 -9.07631e-05 0.000200079
12151.4 -9.13481e-05 0.000200305
12156.5 -9.19802e-05 0.000200455
12161.5 -9.26011e-05 0.000200573
12166.5 -9.3215e-05 0.00020067
12171.6 -9.38221e-05 0.000200745
12176.6 -9.44194e-05 0.000200793
12181.7 -9.49552e-05 0.000200808
12186.7 -9.54658e-05 0.00020088
12191.8 -9.59848e-05 0.000200968
12196.8 -9.65083e-05 0.00020106
12201.9 -9.70343e-05 0.000201155
12206.9 -9.75599e-05 0.000201243
12212 -9.80521e-05 0.000201329
12217 -9.8542e-05 0.000201455
12222.1 -9.90421e-05 0.0002016
12227.1 -9.95515e-05 0.00020176
12232.2 -0.000100071 0.000201938
12237.2 -0.000100607 0.000202146
12242.2 -0.000101231 0.000202368
12247.3 -0.000101865 0.000202524
12252.3 -0.000102493 0.000202661
12257.4 -0.000103119 0.000202789
12262.4 -0.000103745 0.000202911
12267.5 -0.000104375 0.000203035
12272.5 -0.000105044 0.000203149
12277.6 -0.000105709 0.00020322
12282.6 -0.000106365 0.000203267
12287.7 -0.000107011 0.000203291
12292.7 -0.000107645 0.000203283
12297.8 -0.000108251 0.000203218
12302.8 -0.000108675 0.000203158
12307.9 -0.000109111 0.000203235
12312.9 -0.000109572 0.000203355
12318 -0.000110051 0.000203507
12323 -0.000110549 0.000203692
12328 -0.000111072 0.000203923
12333.1 -0.000111711 0.000204164
12338.1 -0.000112354 0.000204337
12343.2 -0.000112993 0.000204499
12348.2 -0.000113635 0.00020466
12353.3 -0.000114284 0.000204829
12358.3 -0.00011495 0.000205026
12363.4 -0.000115746 0.000205212
12368.4 -0.000116534 0.000205282
12373.5 -0.0001173 0.000205305
12378.5 -0.000118047 0.000205286
12383.6 -0.000118771 0.00020522
12388.6 -0.000119453 0.000205075
12393.7 -0.000119887 0.000204909
12398.7 -0.000120319 0.000204948
12403.7 -0.000120786 0.000205047
12408.8 -0.000121279 0.000205188
12413.8 -0.000121797 0.00020537
12418.9 -0.000122348 0.000205607
12423.9 -0.000123053 0.000205884
12429 -0.000123787 0.000206034
12434 -0.000124506 0.000206152
12439.1 -0.000125218 0.000206252
12444.1 -0.000125926 0.00020634
12449.2 -0.000126633 0.00020642
12454.2 -0.000127346 0.000206493
12459.3 -0.000128058 0.000206548
12464.3 -0.000128767 0.000206591
12469.4 -0.000129471 0.000206621
12474.4 -0.000130169 0.000206636
12479.5 -0.000130857 0.000206629
12484.5 -0.000131483 0.000206582
12489.5 -0.000132066 0.000206621
12494.6 -0.000132668 0.000206687
12499.6 -0.000133283 0.00020677
12504.7 -0.000133909 0.000206866
12509.7 -0.000134545 0.000206974
12514.8 -0.000135201 0.000207101
12519.8 -0.000135883 0.000207214
12524.9 -0.000136568 0.000207324
12529.9 -0.000137258 0.000207438
12535 -0.000137956 0.00020756
12540 -0.000138666 0.000207696
12545.1 -0.000139405 0.000207872
12550.1 -0.000140277 0.000207994
12555.2 -0.000141116 0.000208031
12560.2 -0.000141937 0.000208034
12565.2 -0.000142743 0.000208006
